Stage;Category;Flaw Type;Definition
Input;Garbage-in;Selective Data;Also known as cherry-picking. The visualization selects partial truth and hides inconvenient elements, such as picking a specific time period, specific comparison opponents, or a particular set of data points.
Input;Garbage-in;Too Few Data Points;Arises when connecting two dots with a straight line to form a line chart, creating a false impression of a trend.
Input;Lie with Statistics;Discretized Continuous Variable;A continuous variable is unnecessarily grouped into categories without purpose, making values near the boundaries of splits appear prominently different. For example, applying categorical rainbow colors to continuous variables exaggerates boundary differences.
Input;Lie with Statistics;Missing Normalization;Shows meaningless comparisons when numbers are in absolute values instead of being normalized, e.g. per capita. Common in population maps.
Input;Lie with Statistics;Inappropriate Item Order;Hides patterns or shows misleading trends by putting items in an arbitrary order.
Input;Lie with Statistics;Trend Line on Random Data;A regression line on weakly correlated data that misleads people into thinking there is a trend.
Input;Lie with Statistics;Inappropriate Use of Accumulation;Can hide a recent declining trend by showing the accumulated historical values.
Visualization Design;Choice of Axis;Truncated Axis;The y-axis does not start at zero, exaggerating differences between values by cutting off the lower portion of the axis.
Visualization Design;Choice of Axis;Dual Axis;Two data series with different magnitudes are plotted on two different y-axes, becoming misleading if the reader is unaware of the separate scales.
Visualization Design;Choice of Axis;Inverted Axis;The axis direction is reversed from convention. Conventionally axes develop from smaller to larger numbers moving upward, but this is violated without clear justification.
Visualization Design;Choice of Axis;Log Scale;A logarithmic scale is applied when a linear scale would be more appropriate (or expected), misleading readers unfamiliar with log scales.
Visualization Design;Choice of Axis;Extended Axis;The axis is unnecessarily extended beyond the data range, understating differences between values.
Visualization Design;Choice of Axis;Data of Different Magnitudes;Two data series with very different magnitudes are plotted on the same axis, causing the smaller magnitude series to be dominated and barely visible.
Visualization Design;Choice of Chart;Inappropriate Use of Line Chart;Putting categorical data on axes or swapping the x and y-axis, applying a line chart to unsuitable data types.
Visualization Design;Choice of Chart;Inappropriate Use of Pie Chart;Plotting a pie chart on data that has no part-to-whole relationship, misrepresenting how values relate to a whole.
Visualization Design;Choice of Chart;Inappropriate Use of Stacked;Too many layers are stacked, making the chart incomprehensible for the reader.
Visualization Design;Choice of Chart;Inappropriate Use of Bar Chart;Bar charts are applied in contexts where readers cannot properly comprehend the encoding.
Visualization Design;Choice of Chart;Inappropriate Use of Scatterplot;Scatterplots are applied in contexts where readers cannot properly comprehend the encoding.
Visualization Design;Color Mess;Overusing Colors;Too many colors are used in a visualization, overwhelming the reader and making the visualization hideous and hard to read.
Visualization Design;Color Mess;Indistinguishable Colors;The same or very similar colors are used for different categories, causing readers to mistake one category for another.
Visualization Design;Color Mess;Color Blind Unfriendly;Colors used in the visualization are indistinguishable for color blind people, similar in effect to indistinguishable colors.
Plotting;Incomplete Chart;Missing Title;A visualization without a title, leaving the reader wondering what the visualization is about and what message it intends to convey.
Plotting;Incomplete Chart;Missing Axis Title;The axis title is absent, making the meaning of the axis ambiguous.
Plotting;Incomplete Chart;Missing Legend;"The legend is absent; can sometimes be compensated for with labels on the visual marks, but when all labeling is absent the visualization is incomprehensible."
Plotting;Incomplete Chart;Missing Value Labels;Value labels are absent from the chart, leaving readers unable to determine exact values.
Plotting;Incomplete Chart;Missing Axis;The axis itself is absent from the visualization.
Plotting;Incomplete Chart;Missing Axis Ticks;The tick marks on the axis are absent.
Plotting;Incomplete Chart;Missing Units;The units of measurement are not displayed on the chart.
Plotting;Inconsistency;Misrepresentation;Data values are drawn disproportionately or not to scale. Commonly spotted as value labels that fail to match the visually encoded geometric objects.
Plotting;Inconsistency;Inconsistent Tick Intervals;Tick intervals in the chart are not consistent, violating the reader's expectation and showing false patterns. Can be exploited maliciously to create a distorted visual perception.
Plotting;Inconsistency;Inconsistent Binning Size;The boundaries of binning groups vary, putting more or fewer items into specific groups and resulting in manipulated statistical calculations.
Plotting;Inconsistency;Violating Color Convention;A color mismatch between colors and the categories they represent.
Plotting;Inconsistency;Inconsistent Grouping;Some entities are grouped while others are not, making a dominating entity look less dominant by splitting it into smaller members while other groups remain whole.
Plotting;Inconsistency;Inconsistent Tick Labels;Tick labels are not in the same format across the axis.
Plotting;Inconsistency;Inconsistent Value Labels;Value labels are inconsistently annotated across the chart.
Plotting;Chaotic Canvas;Plotting Out of Chart;A data value is plotted beyond the axis range so that its geometric mark falls outside the chart area.
Plotting;Chaotic Canvas;Illegible Text;Text that overlaps itself or other text and becomes unreadable.
Plotting;Chaotic Canvas;Small Font Size;Text that is too small in proportion to the chart such that it is hardly or not readable for people
Perception;Visual Illusion;3D;A perspective distortion technique where closer objects appear larger despite being the same size, allowing more visual ink for smaller objects in 3D bar charts.
Perception;Visual Illusion;Area Encoding;Data values are linearly encoded as areas, but according to Stevens' power law (exponent ~0.7 for area) readers consistently underestimate the values.
Perception;Visual Illusion;Ineffective Color Scheme;Use of rainbow colors, categorical colors on sequential data, or sequential colors on categorical data. Dichotomy colors can hide underlying distributions (e.g., a slight majority conceals a near-equal minority).
Perception;Visual Illusion;Inappropriate Use of Smoothing;Interpolation between data points creates non-existing data points, misleading readers about the actual data.
Perception;Visual Illusion;Inappropriate Aspect Ratio;The aspect ratio of the chart is distorted, commonly seen in line charts, affecting the perceived slope and trends.
Interpretation;Power of Words;Misleading Title;The title does not match the actual message conveyed by the chart.
Interpretation;Hidden Information;Overplotting;Visual marks overlap in the same position, hiding overlapping marks from the reader and resulting in understated areas or densities.
